trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
2015-08-06,24,63,57.85811577752553,29.7,24.4,0.5,22.9,79
2015-08-07,2,49,23.770491803278688,29.8,24.8,0.0,35.2,72
2015-08-11,11,62,38.60126582278481,28.1,22.4,0.0,10.2,77
2015-08-12,1,63,29.715277777777775,29.2,22.5,0.0,9.8,78
2015-08-13,2,56,28.55749128919861,29.3,23.6,0.0,13.8,74
2015-08-14,2,69,32.3,30.9,24.1,0.0,17.4,73
2015-08-15,1,47,24.184027777777775,30.5,23.8,0.0,17.0,73
2015-08-16,1,29,10.590277777777777,30.1,23.2,0.0,14.8,73
2015-08-17,1,58,25.745644599303134,30.7,23.9,0.0,15.9,72
2015-08-18,1,65,31.427083333333332,28.3,23.5,0.1,13.7,78
2015-08-19,2,67,32.291666666666664,29.4,24.3,0.2,23.5,73
2015-08-20,2,67,32.03125,29.8,23.9,0.0,26.8,69
2015-08-21,2,76,35.65972222222222,27.9,24.1,1.8,28.6,74
2015-08-22,1,54,28.100694444444443,26.5,23.3,0.7,30.3,71
2015-08-23,2,36,17.381944444444443,24.9,22.2,2.0,25.8,73
2015-08-24,1,63,29.533101045296167,26.4,21.9,0.2,25.6,67
2015-08-25,1,74,35.20833333333333,28.3,21.7,0.0,25.3,66
2015-08-26,1,74,35.19444444444444,26.9,21.7,0.0,25.0,63
2015-08-27,1,78,38.00699300699301,27.6,21.7,0.0,27.4,59
2015-08-28,1,78,36.826388888888886,28.5,21.2,0.0,26.7,61
2015-08-29,1,65,33.50694444444444,29.7,21.9,0.0,22.9,62
2015-08-30,1,36,16.850694444444443,29.9,21.5,0.0,25.0,68
2015-08-31,1,65,31.260416666666664,28.6,22.1,0.0,26.5,69
2015-09-01,2,72,37.260416666666664,30.7,21.7,0.0,22.2,62
2015-09-02,4,76,39.75347222222222,28.5,21.1,0.0,14.5,79
2015-09-03,4,72,39.97212543554007,28.5,21.5,0.0,16.5,82
2015-09-04,4,81,37.53310104529617,28.1,22.8,0.0,12.4,78
2015-09-05,1,62,31.45486111111111,29.0,20.4,0.0,8.9,77
2015-09-06,1,40,18.427083333333332,32.1,22.1,0.0,18.6,61
2015-09-07,1,65,32.0625,26.5,23.1,0.0,27.5,63
2015-09-08,4,69,33.88850174216028,25.3,21.2,1.3,28.9,69
2015-09-09,2,67,36.638888888888886,25.5,21.3,0.0,27.4,60
2015-09-10,4,72,36.55902777777778,27.4,21.8,0.0,25.3,69
2015-09-11,2,81,38.44097222222222,27.3,21.7,0.0,18.4,83
2015-09-12,1,78,36.986111111111114,23.6,20.3,10.7,24.3,87
2015-09-13,1,47,20.315972222222225,24.0,20.4,5.7,25.8,81
2015-09-14,1,67,29.940520446096652,23.5,20.4,0.0,26.3,77
2015-09-15,1,71,33.81954887218045,24.1,20.1,0.0,21.4,71
2015-09-16,4,72,37.45296167247386,24.6,20.1,0.0,21.6,76
2015-09-17,1,81,39.05226480836237,25.5,20.4,0.0,24.3,77
2015-09-18,4,76,38.167247386759584,25.6,19.8,0.0,25.5,72
2015-09-19,1,53,26.003484320557487,25.3,20.9,0.0,24.7,70
2015-09-20,1,26,9.314685314685313,24.7,20.1,0.0,13.2,79
2015-09-21,1,51,21.445993031358885,25.5,18.7,0.0,17.7,79
2015-09-22,1,49,20.729166666666664,25.4,20.4,0.5,23.4,77
2015-09-23,1,29,7.73170731707317,25.4,21.0,0.9,16.9,80
2015-09-24,1,36,12.611111111111112,23.8,21.1,2.4,19.1,80
2015-09-25,1,60,22.67361111111111,26.5,20.9,0.0,10.8,68
2015-09-26,1,49,22.806338028169012,27.0,18.7,0.0,17.8,80
2015-09-27,1,31,11.843205574912892,26.0,22.0,0.1,18.3,84
2015-09-28,1,74,25.278745644599304,24.4,21.0,5.3,19.4,87
2015-09-29,2,78,39.93728222996516,21.9,17.0,35.1,38.5,90
2015-09-30,8,72,41.47038327526133,17.3,16.5,18.6,34.3,83
2015-10-01,1,65,29.05574912891986,18.6,16.8,3.8,28.6,74
2015-10-02,1,67,32.589473684210525,19.2,16.8,3.8,22.3,78
2015-10-03,1,60,29.16724738675958,21.6,17.5,0.1,19.0,78
2015-10-04,1,47,19.100694444444443,22.0,17.6,0.0,17.9,80
2015-10-05,1,65,26.552083333333332,21.8,17.8,0.0,10.6,86
2015-10-06,1,69,35.59027777777778,19.3,16.4,8.9,17.8,89
2015-10-07,1,69,31.766550522648085,19.6,15.6,1.7,11.9,87
2015-10-08,1,71,35.188153310104525,19.1,16.4,0.2,25.1,87
2015-10-09,1,72,31.127659574468083,19.4,15.7,0.0,24.5,71
2015-10-10,1,72,31.003472222222225,20.8,15.3,0.0,19.7,71
2015-10-11,1,67,23.5,21.8,17.0,7.0,19.3,83
2015-10-12,2,71,31.090909090909086,23.1,17.2,6.3,18.7,84
2015-10-13,4,72,36.36585365853659,16.6,14.2,4.7,19.8,83
2015-10-14,1,69,33.50694444444444,18.3,14.9,0.7,24.0,76
2015-10-15,1,72,33.32517482517483,17.9,15.0,0.0,27.9,73
2015-10-16,1,78,34.010416666666664,19.0,14.9,0.0,27.4,74
2015-10-17,1,69,32.16724738675958,19.2,16.3,1.3,20.3,84
2015-10-18,1,53,19.680555555555557,19.0,15.3,0.0,13.2,83
2015-10-19,1,65,29.9874213836478,19.6,15.3,0.0,11.0,85
2015-10-20,1,69,31.748251748251747,19.9,14.7,0.0,11.6,90
2015-10-21,1,74,37.98790322580645,18.0,14.5,12.4,23.8,92
2015-10-22,4,83,37.700729927007295,18.2,14.9,17.0,20.4,89
2015-10-23,4,90,42.07407407407408,18.1,14.8,32.9,37.8,93
2015-10-24,6,74,36.931899641577054,14.6,13.1,8.1,33.3,81
2015-10-25,1,44,20.31390134529148,15.6,12.6,0.0,21.2,74
2015-10-26,1,65,27.93501805054152,16.8,12.7,0.0,21.5,72
2015-10-27,1,72,34.37455830388692,16.0,12.9,0.0,26.2,70
2015-10-28,1,69,34.35191637630662,14.5,11.5,0.0,28.6,62
2015-10-29,1,35,13.055555555555555,15.4,12.4,0.0,29.0,65
2015-10-30,1,65,24.190972222222225,15.5,12.8,0.0,31.3,71
2015-10-31,1,58,25.18815331010453,14.6,12.6,0.0,37.1,65
2015-11-01,1,36,8.475694444444445,13.5,11.8,0.0,37.2,66
2015-11-02,1,72,29.393728222996515,14.1,11.2,0.0,27.5,70
2015-11-03,1,71,32.24390243902439,15.3,10.4,0.0,13.6,76
2015-11-04,1,74,34.459649122807015,15.8,11.1,0.0,17.3,79
2015-11-05,1,74,33.282229965156795,15.2,11.4,0.0,14.8,85
2015-11-06,1,72,30.67013888888889,14.3,11.9,0.0,18.1,81
2015-11-07,1,69,30.094076655052262,13.9,12.2,0.0,18.6,75
2015-11-08,1,51,16.537931034482757,13.7,10.7,0.0,12.9,78
2015-11-09,1,71,26.574912891986063,16.3,9.7,0.0,22.0,84
2015-11-10,1,72,29.802973977695167,16.0,11.4,0.0,15.5,80
2015-11-11,1,74,32.94444444444444,17.8,14.0,0.0,18.6,82
2015-11-12,1,72,33.27816901408451,17.4,13.1,0.0,10.8,86
2015-11-13,2,80,33.870629370629366,16.6,11.3,0.0,16.5,90
2015-11-14,1,78,32.58680555555556,16.0,12.5,0.0,14.8,91
2015-11-15,1,56,22.240418118466895,15.2,10.4,0.0,14.6,82
2015-11-16,1,65,25.48771929824561,14.7,9.2,0.0,20.7,84
