time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
2015-08-06,29.7,24.4,0.5,22.9,79
2015-08-07,29.8,24.8,0.0,35.2,72
2015-08-08,28.9,24.4,0.0,33.2,66
2015-08-09,29.5,23.6,0.0,25.1,72
2015-08-10,27.6,23.3,0.4,16.6,76
2015-08-11,28.1,22.4,0.0,10.2,77
2015-08-12,29.2,22.5,0.0,9.8,78
2015-08-13,29.3,23.6,0.0,13.8,74
2015-08-14,30.9,24.1,0.0,17.4,73
2015-08-15,30.5,23.8,0.0,17.0,73
2015-08-16,30.1,23.2,0.0,14.8,73
2015-08-17,30.7,23.9,0.0,15.9,72
2015-08-18,28.3,23.5,0.1,13.7,78
2015-08-19,29.4,24.3,0.2,23.5,73
2015-08-20,29.8,23.9,0.0,26.8,69
2015-08-21,27.9,24.1,1.8,28.6,74
2015-08-22,26.5,23.3,0.7,30.3,71
2015-08-23,24.9,22.2,2.0,25.8,73
2015-08-24,26.4,21.9,0.2,25.6,67
2015-08-25,28.3,21.7,0.0,25.3,66
2015-08-26,26.9,21.7,0.0,25.0,63
2015-08-27,27.6,21.7,0.0,27.4,59
2015-08-28,28.5,21.2,0.0,26.7,61
2015-08-29,29.7,21.9,0.0,22.9,62
2015-08-30,29.9,21.5,0.0,25.0,68
2015-08-31,28.6,22.1,0.0,26.5,69
2015-09-01,30.7,21.7,0.0,22.2,62
2015-09-02,28.5,21.1,0.0,14.5,79
2015-09-03,28.5,21.5,0.0,16.5,82
2015-09-04,28.1,22.8,0.0,12.4,78
2015-09-05,29.0,20.4,0.0,8.9,77
2015-09-06,32.1,22.1,0.0,18.6,61
2015-09-07,26.5,23.1,0.0,27.5,63
2015-09-08,25.3,21.2,1.3,28.9,69
2015-09-09,25.5,21.3,0.0,27.4,60
2015-09-10,27.4,21.8,0.0,25.3,69
2015-09-11,27.3,21.7,0.0,18.4,83
2015-09-12,23.6,20.3,10.7,24.3,87
2015-09-13,24.0,20.4,5.7,25.8,81
2015-09-14,23.5,20.4,0.0,26.3,77
2015-09-15,24.1,20.1,0.0,21.4,71
2015-09-16,24.6,20.1,0.0,21.6,76
2015-09-17,25.5,20.4,0.0,24.3,77
2015-09-18,25.6,19.8,0.0,25.5,72
2015-09-19,25.3,20.9,0.0,24.7,70
2015-09-20,24.7,20.1,0.0,13.2,79
2015-09-21,25.5,18.7,0.0,17.7,79
2015-09-22,25.4,20.4,0.5,23.4,77
2015-09-23,25.4,21.0,0.9,16.9,80
2015-09-24,23.8,21.1,2.4,19.1,80
2015-09-25,26.5,20.9,0.0,10.8,68
2015-09-26,27.0,18.7,0.0,17.8,80
2015-09-27,26.0,22.0,0.1,18.3,84
2015-09-28,24.4,21.0,5.3,19.4,87
2015-09-29,21.9,17.0,35.1,38.5,90
2015-09-30,17.3,16.5,18.6,34.3,83
2015-10-01,18.6,16.8,3.8,28.6,74
2015-10-02,19.2,16.8,3.8,22.3,78
